Nume,Prenume,Clasa,Varsta,EmailScolar,Telefon,Mat1,Mat2,Mat3,Mat4,Mat5
Guta,Nicolae,10A,16,nicolae.guta@liceu.ro,0711111101,Matematica,Informatica,Romana,Engleza,Fizica
Salam,Florin,10A,16,florin.salam@liceu.ro,0711111102,Matematica,Informatica,Romana,Engleza,Fizica
Tzanca,Uraganu,10A,15,uraganu.tzanca@liceu.ro,0711111103,Matematica,Informatica,Romana,Engleza,Fizica
Jador,Remus,10A,16,remus.jador@liceu.ro,0711111104,Matematica,Informatica,Romana,Engleza,Fizica
Minune,Adrian,10A,15,adrian.minune@liceu.ro,0711111105,Matematica,Informatica,Romana,Engleza,Fizica
Denisa,Manuelita,10A,16,manuelita.denisa@liceu.ro,0711111106,Matematica,Informatica,Romana,Engleza,Fizica
Balsanu,Costel,10A,15,costel.balsanu@liceu.ro,0711111107,Matematica,Informatica,Romana,Engleza,Fizica
Banel,Nicolita,10A,16,nicolita.banel@liceu.ro,0711111108,Matematica,Informatica,Romana,Engleza,Fizica
Marica,Ciprian,10A,16,ciprian.marica@liceu.ro,0711111109,Matematica,Informatica,Romana,Engleza,Fizica
Mutu,Adrian,10A,16,adrian.mutu@liceu.ro,0711111110,Matematica,Informatica,Romana,Engleza,Fizica
Velea,Alex,10B,16,alex.velea@liceu.ro,0711111201,Matematica,Informatica,Romana,Engleza,Fizica
Manole,Aura,10B,15,aura.manole@liceu.ro,0711111202,Matematica,Informatica,Romana,Engleza,Fizica
Bote,Vali,10B,16,vali.bote@liceu.ro,0711111203,Matematica,Informatica,Romana,Engleza,Fizica
Nane,Mario,10B,16,mario.nane@liceu.ro,0711111204,Matematica,Informatica,Romana,Engleza,Fizica
Selly,Andrei,10B,15,andrei.selly@liceu.ro,0711111205,Matematica,Informatica,Romana,Engleza,Fizica
Manuel,Biola,10B,16,biola.manuel@liceu.ro,0711111206,Matematica,Informatica,Romana,Engleza,Fizica
Becali,Gigi,10B,16,gigi.becali@liceu.ro,0711111207,Matematica,Informatica,Romana,Engleza,Fizica
Hagi,Gheorghe,10B,15,gheorghe.hagi@liceu.ro,0711111208,Matematica,Informatica,Romana,Engleza,Fizica
Reghecampf,Laurentiu,10B,16,laurentiu.reghecampf@liceu.ro,0711111209,Matematica,Informatica,Romana,Engleza,Fizica
Torje,Gabriel,10B,16,gabriel.torje@liceu.ro,0711111210,Matematica,Informatica,Romana,Engleza,Fizica
